"County","FIPS","Year","Race/Ethnicity","Age","Poverty Status","Measure Type","Variable","Value"
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",3.69
"Connecticut","09","2013-2017","Asian Alone","Total","Below Poverty Level","Number","Poverty Status",12665
"Connecticut","09","2013-2017","Asian Alone","Total","Below Poverty Level","Number","Margins of Error",1290
"Connecticut","09","2013-2017","Asian Alone","Total","Below Poverty Level","Percent","Poverty Status",8.36
"Connecticut","09","2013-2017","Asian Alone","Total","Below Poverty Level","Percent","Margins of Error",0.85
"Connecticut","09","2013-2017","Asian Alone","Total","Poverty Status Determined","Number","Poverty Status",151478
"Connecticut","09","2013-2017","Asian Alone","Total","Poverty Status Determined","Number","Margins of Error",1629
"Connecticut","09","2013-2017","Asian Alone","Under 18","Below Poverty Level","Number","Poverty Status",2562
"Connecticut","09","2013-2017","Asian Alone","Under 18","Below Poverty Level","Number","Margins of Error",321.95
"Connecticut","09","2013-2017","Asian Alone","Under 18","Below Poverty Level","Percent","Poverty Status",7.55
"Connecticut","09","2013-2017","Asian Alone","Under 18","Below Poverty Level","Percent","Margins of Error",0.93
"Connecticut","09","2013-2017","Asian Alone","Under 18","Poverty Status Determined","Number","Poverty Status",33920
"Connecticut","09","2013-2017","Asian Alone","Under 18","Poverty Status Determined","Number","Margins of Error",951.6
"Connecticut","09","2013-2017","Asian Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",22.39
"Connecticut","09","2013-2017","Asian Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",0.58
"Connecticut","09","2013-2017","Black or African American Alone","Total","Below Poverty Level","Number","Poverty Status",66875
"Connecticut","09","2013-2017","Black or African American Alone","Total","Below Poverty Level","Number","Margins of Error",3065
"Connecticut","09","2013-2017","Black or African American Alone","Total","Below Poverty Level","Percent","Poverty Status",18.61
"Connecticut","09","2013-2017","Black or African American Alone","Total","Below Poverty Level","Percent","Margins of Error",0.84
"Connecticut","09","2013-2017","Black or African American Alone","Total","Poverty Status Determined","Number","Poverty Status",359281
"Connecticut","09","2013-2017","Black or African American Alone","Total","Poverty Status Determined","Number","Margins of Error",2524
"Connecticut","09","2013-2017","Black or African American Alone","Under 18","Below Poverty Level","Number","Poverty Status",23694
"Connecticut","09","2013-2017","Black or African American Alone","Under 18","Below Poverty Level","Number","Margins of Error",1260.5
"Connecticut","09","2013-2017","Black or African American Alone","Under 18","Below Poverty Level","Percent","Poverty Status",25.75
"Connecticut","09","2013-2017","Black or African American Alone","Under 18","Below Poverty Level","Percent","Margins of Error",1.23
"Connecticut","09","2013-2017","Black or African American Alone","Under 18","Poverty Status Determined","Number","Poverty Status",92004
"Connecticut","09","2013-2017","Black or African American Alone","Under 18","Poverty Status Determined","Number","Margins of Error",2150.49
"Connecticut","09","2013-2017","Black or African American Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",25.61
"Connecticut","09","2013-2017","Black or African American Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",0.57
"Connecticut","09","2013-2017","Hispanic or Latino","Total","Below Poverty Level","Number","Poverty Status",123584
"Connecticut","09","2013-2017","Hispanic or Latino","Total","Below Poverty Level","Number","Margins of Error",3859
"Connecticut","09","2013-2017","Hispanic or Latino","Total","Below Poverty Level","Percent","Poverty Status",22.99
"Connecticut","09","2013-2017","Hispanic or Latino","Total","Below Poverty Level","Percent","Margins of Error",0.72
"Connecticut","09","2013-2017","Hispanic or Latino","Total","Poverty Status Determined","Number","Poverty Status",537612
"Connecticut","09","2013-2017","Hispanic or Latino","Total","Poverty Status Determined","Number","Margins of Error",849
"Connecticut","09","2013-2017","Hispanic or Latino","Under 18","Below Poverty Level","Number","Poverty Status",49771
"Connecticut","09","2013-2017","Hispanic or Latino","Under 18","Below Poverty Level","Number","Margins of Error",1679.62
"Connecticut","09","2013-2017","Hispanic or Latino","Under 18","Below Poverty Level","Percent","Poverty Status",29.12
"Connecticut","09","2013-2017","Hispanic or Latino","Under 18","Below Poverty Level","Percent","Margins of Error",0.87
"Connecticut","09","2013-2017","Hispanic or Latino","Under 18","Poverty Status Determined","Number","Poverty Status",170899
"Connecticut","09","2013-2017","Hispanic or Latino","Under 18","Poverty Status Determined","Number","Margins of Error",2709.7
"Connecticut","09","2013-2017","Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Poverty Status",31.79
"Connecticut","09","2013-2017","Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Margins of Error",0.5
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Number","Poverty Status",217
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Number","Margins of Error",129
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Percent","Poverty Status",24.52
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Percent","Margins of Error",13.4
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Poverty Status Determined","Number","Poverty Status",885
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Poverty Status Determined","Number","Margins of Error",207
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Number","Poverty Status",49
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Number","Margins of Error",106.96
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Percent","Poverty Status",34.75
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Percent","Margins of Error",66.72
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Number","Poverty Status",141
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Number","Margins of Error",146.43
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Percent","Poverty Status",15.93
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Percent","Margins of Error",16.12
"Connecticut","09","2013-2017","Some Other Race Alone","Total","Below Poverty Level","Number","Poverty Status",45727
"Connecticut","09","2013-2017","Some Other Race Alone","Total","Below Poverty Level","Number","Margins of Error",2861
"Connecticut","09","2013-2017","Some Other Race Alone","Total","Below Poverty Level","Percent","Poverty Status",25.88
"Connecticut","09","2013-2017","Some Other Race Alone","Total","Below Poverty Level","Percent","Margins of Error",1.43
"Connecticut","09","2013-2017","Some Other Race Alone","Total","Poverty Status Determined","Number","Poverty Status",176661
"Connecticut","09","2013-2017","Some Other Race Alone","Total","Poverty Status Determined","Number","Margins of Error",5233
"Connecticut","09","2013-2017","Some Other Race Alone","Under 18","Below Poverty Level","Number","Poverty Status",16234
"Connecticut","09","2013-2017","Some Other Race Alone","Under 18","Below Poverty Level","Number","Margins of Error",1042.97
"Connecticut","09","2013-2017","Some Other Race Alone","Under 18","Below Poverty Level","Percent","Poverty Status",31.95
"Connecticut","09","2013-2017","Some Other Race Alone","Under 18","Below Poverty Level","Percent","Margins of Error",1.71
"Connecticut","09","2013-2017","Some Other Race Alone","Under 18","Poverty Status Determined","Number","Poverty Status",50808
"Connecticut","09","2013-2017","Some Other Race Alone","Under 18","Poverty Status Determined","Number","Margins of Error",1807.29
"Connecticut","09","2013-2017","Some Other Race Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",28.76
"Connecticut","09","2013-2017","Some Other Race Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",0.57
"Connecticut","09","2013-2017","Two or More Races","Total","Below Poverty Level","Number","Poverty Status",18502
"Connecticut","09","2013-2017","Two or More Races","Total","Below Poverty Level","Number","Margins of Error",1753
"Connecticut","09","2013-2017","Two or More Races","Total","Below Poverty Level","Percent","Poverty Status",17.5
"Connecticut","09","2013-2017","Two or More Races","Total","Below Poverty Level","Percent","Margins of Error",1.58
"Connecticut","09","2013-2017","Two or More Races","Total","Poverty Status Determined","Number","Poverty Status",105703
"Connecticut","09","2013-2017","Two or More Races","Total","Poverty Status Determined","Number","Margins of Error",3038
"Connecticut","09","2013-2017","Two or More Races","Under 18","Below Poverty Level","Number","Poverty Status",9655
"Connecticut","09","2013-2017","Two or More Races","Under 18","Below Poverty Level","Number","Margins of Error",838.23
"Connecticut","09","2013-2017","Two or More Races","Under 18","Below Poverty Level","Percent","Poverty Status",18.34
"Connecticut","09","2013-2017","Two or More Races","Under 18","Below Poverty Level","Percent","Margins of Error",1.48
"Connecticut","09","2013-2017","Two or More Races","Under 18","Poverty Status Determined","Number","Poverty Status",52651
"Connecticut","09","2013-2017","Two or More Races","Under 18","Poverty Status Determined","Number","Margins of Error",1701.9
"Connecticut","09","2013-2017","Two or More Races","Under 18","Poverty Status Determined","Percent","Poverty Status",49.81
"Connecticut","09","2013-2017","Two or More Races","Under 18","Poverty Status Determined","Percent","Margins of Error",0.74
"Connecticut","09","2013-2017","White Alone","Total","Below Poverty Level","Number","Poverty Status",205283
"Connecticut","09","2013-2017","White Alone","Total","Below Poverty Level","Number","Margins of Error",5159
"Connecticut","09","2013-2017","White Alone","Total","Below Poverty Level","Percent","Poverty Status",7.65
"Connecticut","09","2013-2017","White Alone","Total","Below Poverty Level","Percent","Margins of Error",0.19
"Connecticut","09","2013-2017","White Alone","Total","Poverty Status Determined","Number","Poverty Status",2683192
"Connecticut","09","2013-2017","White Alone","Total","Poverty Status Determined","Number","Margins of Error",5672
"Connecticut","09","2013-2017","White Alone","Under 18","Below Poverty Level","Number","Poverty Status",49113
"Connecticut","09","2013-2017","White Alone","Under 18","Below Poverty Level","Number","Margins of Error",1782.17
"Connecticut","09","2013-2017","White Alone","Under 18","Below Poverty Level","Percent","Poverty Status",9.43
"Connecticut","09","2013-2017","White Alone","Under 18","Below Poverty Level","Percent","Margins of Error",0.33
"Connecticut","09","2013-2017","White Alone","Under 18","Poverty Status Determined","Number","Poverty Status",520940
"Connecticut","09","2013-2017","White Alone","Under 18","Poverty Status Determined","Number","Margins of Error",3849.16
"Connecticut","09","2013-2017","White Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",19.41
"Connecticut","09","2013-2017","White Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",0.14
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Total","Below Poverty Level","Number","Poverty Status",141064
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Total","Below Poverty Level","Number","Margins of Error",3816
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Total","Below Poverty Level","Percent","Poverty Status",5.93
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Total","Below Poverty Level","Percent","Margins of Error",0.16
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Total","Poverty Status Determined","Number","Poverty Status",2376879
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Total","Poverty Status Determined","Number","Margins of Error",1599
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Number","Poverty Status",23376
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Number","Margins of Error",1134.46
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Percent","Poverty Status",5.47
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Percent","Margins of Error",0.26
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Number","Poverty Status",427701
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Number","Margins of Error",3101.09
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Poverty Status",17.99
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Margins of Error",0.13
"Fairfield County","09001","2013-2017","All","Total","Below Poverty Level","Number","Poverty Status",81422
"Fairfield County","09001","2013-2017","All","Total","Below Poverty Level","Number","Margins of Error",3054
"Fairfield County","09001","2013-2017","All","Total","Below Poverty Level","Percent","Poverty Status",8.76
"Fairfield County","09001","2013-2017","All","Total","Below Poverty Level","Percent","Margins of Error",0.33
"Fairfield County","09001","2013-2017","All","Total","Poverty Status Determined","Number","Poverty Status",929135
"Fairfield County","09001","2013-2017","All","Total","Poverty Status Determined","Number","Margins of Error",847
"Fairfield County","09001","2013-2017","All","Under 18","Below Poverty Level","Number","Poverty Status",23525
"Fairfield County","09001","2013-2017","All","Under 18","Below Poverty Level","Number","Margins of Error",1111.41
"Fairfield County","09001","2013-2017","All","Under 18","Below Poverty Level","Percent","Poverty Status",10.85
"Fairfield County","09001","2013-2017","All","Under 18","Below Poverty Level","Percent","Margins of Error",0.5
"Fairfield County","09001","2013-2017","All","Under 18","Poverty Status Determined","Number","Poverty Status",216767
"Fairfield County","09001","2013-2017","All","Under 18","Poverty Status Determined","Number","Margins of Error",2379.49
"Fairfield County","09001","2013-2017","All","Under 18","Poverty Status Determined","Percent","Poverty Status",23.33
"Fairfield County","09001","2013-2017","All","Under 18","Poverty Status Determined","Percent","Margins of Error",0.26
"Fairfield County","09001","2013-2017","American Indian and Alaska Native Alone","Total","Below Poverty Level","Number","Poverty Status",364
"Fairfield County","09001","2013-2017","American Indian and Alaska Native Alone","Total","Below Poverty Level","Number","Margins of Error",209
"Fairfield County","09001","2013-2017","American Indian and Alaska Native Alone","Total","Below Poverty Level","Percent","Poverty Status",14.83
"Fairfield County","09001","2013-2017","American Indian and Alaska Native Alone","Total","Below Poverty Level","Percent","Margins of Error",7.84
"Fairfield County","09001","2013-2017","American Indian and Alaska Native Alone","Total","Poverty Status Determined","Number","Poverty Status",2455
"Fairfield County","09001","2013-2017","American Indian and Alaska Native Alone","Total","Poverty Status Determined","Number","Margins of Error",550
"Fairfield County","09001","2013-2017","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Number","Poverty Status",45
"Fairfield County","09001","2013-2017","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Number","Margins of Error",101.79
"Fairfield County","09001","2013-2017","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Percent","Poverty Status",9.11
"Fairfield County","09001","2013-2017","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Percent","Margins of Error",20.91
"Fairfield County","09001","2013-2017","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Number","Poverty Status",494
"Fairfield County","09001","2013-2017","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Number","Margins of Error",192.26
"Fairfield County","09001","2013-2017","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",20.12
"Fairfield County","09001","2013-2017","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",6.4
"Fairfield County","09001","2013-2017","Asian Alone","Total","Below Poverty Level","Number","Poverty Status",3993
"Fairfield County","09001","2013-2017","Asian Alone","Total","Below Poverty Level","Number","Margins of Error",701
"Fairfield County","09001","2013-2017","Asian Alone","Total","Below Poverty Level","Percent","Poverty Status",8.24
"Fairfield County","09001","2013-2017","Asian Alone","Total","Below Poverty Level","Percent","Margins of Error",1.44
"Fairfield County","09001","2013-2017","Asian Alone","Total","Poverty Status Determined","Number","Poverty Status",48478
"Fairfield County","09001","2013-2017","Asian Alone","Total","Poverty Status Determined","Number","Margins of Error",834
"Fairfield County","09001","2013-2017","Asian Alone","Under 18","Below Poverty Level","Number","Poverty Status",914
"Fairfield County","09001","2013-2017","Asian Alone","Under 18","Below Poverty Level","Number","Margins of Error",195.78
"Fairfield County","09001","2013-2017","Asian Alone","Under 18","Below Poverty Level","Percent","Poverty Status",8.67
"Fairfield County","09001","2013-2017","Asian Alone","Under 18","Below Poverty Level","Percent","Margins of Error",1.81
"Fairfield County","09001","2013-2017","Asian Alone","Under 18","Poverty Status Determined","Number","Poverty Status",10544
"Fairfield County","09001","2013-2017","Asian Alone","Under 18","Poverty Status Determined","Number","Margins of Error",525.71
"Fairfield County","09001","2013-2017","Asian Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",21.75
"Fairfield County","09001","2013-2017","Asian Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",1.02
"Fairfield County","09001","2013-2017","Black or African American Alone","Total","Below Poverty Level","Number","Poverty Status",17305
"Fairfield County","09001","2013-2017","Black or African American Alone","Total","Below Poverty Level","Number","Margins of Error",1516
"Fairfield County","09001","2013-2017","Black or African American Alone","Total","Below Poverty Level","Percent","Poverty Status",16.61
"Fairfield County","09001","2013-2017","Black or African American Alone","Total","Below Poverty Level","Percent","Margins of Error",1.44
"Fairfield County","09001","2013-2017","Black or African American Alone","Total","Poverty Status Determined","Number","Poverty Status",104153
"Fairfield County","09001","2013-2017","Black or African American Alone","Total","Poverty Status Determined","Number","Margins of Error",1477
"Fairfield County","09001","2013-2017","Black or African American Alone","Under 18","Below Poverty Level","Number","Poverty Status",5929
"Fairfield County","09001","2013-2017","Black or African American Alone","Under 18","Below Poverty Level","Number","Margins of Error",619.78
"Fairfield County","09001","2013-2017","Black or African American Alone","Under 18","Below Poverty Level","Percent","Poverty Status",22.6
"Fairfield County","09001","2013-2017","Black or African American Alone","Under 18","Below Poverty Level","Percent","Margins of Error",2.15
"Fairfield County","09001","2013-2017","Black or African American Alone","Under 18","Poverty Status Determined","Number","Poverty Status",26232
"Fairfield County","09001","2013-2017","Black or African American Alone","Under 18","Poverty Status Determined","Number","Margins of Error",1148.65
"Fairfield County","09001","2013-2017","Black or African American Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",25.19
"Fairfield County","09001","2013-2017","Black or African American Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",1.04
"Fairfield County","09001","2013-2017","Hispanic or Latino","Total","Below Poverty Level","Number","Poverty Status",32147
"Fairfield County","09001","2013-2017","Hispanic or Latino","Total","Below Poverty Level","Number","Margins of Error",2213
"Fairfield County","09001","2013-2017","Hispanic or Latino","Total","Below Poverty Level","Percent","Poverty Status",18.12
"Fairfield County","09001","2013-2017","Hispanic or Latino","Total","Below Poverty Level","Percent","Margins of Error",1.25
"Fairfield County","09001","2013-2017","Hispanic or Latino","Total","Poverty Status Determined","Number","Poverty Status",177417
"Fairfield County","09001","2013-2017","Hispanic or Latino","Total","Poverty Status Determined","Number","Margins of Error",401
"Fairfield County","09001","2013-2017","Hispanic or Latino","Under 18","Below Poverty Level","Number","Poverty Status",11953
"Fairfield County","09001","2013-2017","Hispanic or Latino","Under 18","Below Poverty Level","Number","Margins of Error",819.74
"Fairfield County","09001","2013-2017","Hispanic or Latino","Under 18","Below Poverty Level","Percent","Poverty Status",22.71
"Fairfield County","09001","2013-2017","Hispanic or Latino","Under 18","Below Poverty Level","Percent","Margins of Error",1.43
"Fairfield County","09001","2013-2017","Hispanic or Latino","Under 18","Poverty Status Determined","Number","Poverty Status",52643
"Fairfield County","09001","2013-2017","Hispanic or Latino","Under 18","Poverty Status Determined","Number","Margins of Error",1413.58
"Fairfield County","09001","2013-2017","Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Poverty Status",29.67
"Fairfield County","09001","2013-2017","Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Margins of Error",0.79
"Fairfield County","09001","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Number","Poverty Status",42
"Fairfield County","09001","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Number","Margins of Error",52
"Fairfield County","09001","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Percent","Poverty Status",11.67
"Fairfield County","09001","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Percent","Margins of Error",15.08
"Fairfield County","09001","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Poverty Status Determined","Number","Poverty Status",360
"Fairfield County","09001","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Poverty Status Determined","Number","Margins of Error",134
"Fairfield County","09001","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Number","Poverty Status",30
"Fairfield County","09001","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Number","Margins of Error",104.54
"Fairfield County","09001","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Percent","Poverty Status",48.39
"Fairfield County","09001","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Percent","Margins of Error",202.16
"Fairfield County","09001","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Number","Poverty Status",62
"Fairfield County","09001","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Number","Margins of Error",142.92
"Fairfield County","09001","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Percent","Poverty Status",17.22
"Fairfield County","09001","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Percent","Margins of Error",40.21
"Fairfield County","09001","2013-2017","Some Other Race Alone","Total","Below Poverty Level","Number","Poverty Status",13272
"Fairfield County","09001","2013-2017","Some Other Race Alone","Total","Below Poverty Level","Number","Margins of Error",1307
"Fairfield County","09001","2013-2017","Some Other Race Alone","Total","Below Poverty Level","Percent","Poverty Status",20.92
"Fairfield County","09001","2013-2017","Some Other Race Alone","Total","Below Poverty Level","Percent","Margins of Error",1.79
"Fairfield County","09001","2013-2017","Some Other Race Alone","Total","Poverty Status Determined","Number","Poverty Status",63454
"Fairfield County","09001","2013-2017","Some Other Race Alone","Total","Poverty Status Determined","Number","Margins of Error",3081
"Fairfield County","09001","2013-2017","Some Other Race Alone","Under 18","Below Poverty Level","Number","Poverty Status",4577
"Fairfield County","09001","2013-2017","Some Other Race Alone","Under 18","Below Poverty Level","Number","Margins of Error",520.48
"Fairfield County","09001","2013-2017","Some Other Race Alone","Under 18","Below Poverty Level","Percent","Poverty Status",26.06
"Fairfield County","09001","2013-2017","Some Other Race Alone","Under 18","Below Poverty Level","Percent","Margins of Error",2.55
"Fairfield County","09001","2013-2017","Some Other Race Alone","Under 18","Poverty Status Determined","Number","Poverty Status",17564
"Fairfield County","09001","2013-2017","Some Other Race Alone","Under 18","Poverty Status Determined","Number","Margins of Error",1022.83
"Fairfield County","09001","2013-2017","Some Other Race Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",27.68
"Fairfield County","09001","2013-2017","Some Other Race Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",0.89
"Fairfield County","09001","2013-2017","Two or More Races","Total","Below Poverty Level","Number","Poverty Status",3375
"Fairfield County","09001","2013-2017","Two or More Races","Total","Below Poverty Level","Number","Margins of Error",574
"Fairfield County","09001","2013-2017","Two or More Races","Total","Below Poverty Level","Percent","Poverty Status",12.91
"Fairfield County","09001","2013-2017","Two or More Races","Total","Below Poverty Level","Percent","Margins of Error",2.02
"Fairfield County","09001","2013-2017","Two or More Races","Total","Poverty Status Determined","Number","Poverty Status",26138
"Fairfield County","09001","2013-2017","Two or More Races","Total","Poverty Status Determined","Number","Margins of Error",1740
"Fairfield County","09001","2013-2017","Two or More Races","Under 18","Below Poverty Level","Number","Poverty Status",1811
"Fairfield County","09001","2013-2017","Two or More Races","Under 18","Below Poverty Level","Number","Margins of Error",312.74
"Fairfield County","09001","2013-2017","Two or More Races","Under 18","Below Poverty Level","Percent","Poverty Status",12.87
"Fairfield County","09001","2013-2017","Two or More Races","Under 18","Below Poverty Level","Percent","Margins of Error",2.08
"Fairfield County","09001","2013-2017","Two or More Races","Under 18","Poverty Status Determined","Number","Poverty Status",14071
"Fairfield County","09001","2013-2017","Two or More Races","Under 18","Poverty Status Determined","Number","Margins of Error",848.07
"Fairfield County","09001","2013-2017","Two or More Races","Under 18","Poverty Status Determined","Percent","Poverty Status",53.83
"Fairfield County","09001","2013-2017","Two or More Races","Under 18","Poverty Status Determined","Percent","Margins of Error",4.83
"Fairfield County","09001","2013-2017","White Alone","Total","Below Poverty Level","Number","Poverty Status",43071
"Fairfield County","09001","2013-2017","White Alone","Total","Below Poverty Level","Number","Margins of Error",2164
"Fairfield County","09001","2013-2017","White Alone","Total","Below Poverty Level","Percent","Poverty Status",6.3
"Fairfield County","09001","2013-2017","White Alone","Total","Below Poverty Level","Percent","Margins of Error",0.32
"Fairfield County","09001","2013-2017","White Alone","Total","Poverty Status Determined","Number","Poverty Status",684097
"Fairfield County","09001","2013-2017","White Alone","Total","Poverty Status Determined","Number","Margins of Error",2962
"Fairfield County","09001","2013-2017","White Alone","Under 18","Below Poverty Level","Number","Poverty Status",10219
"Fairfield County","09001","2013-2017","White Alone","Under 18","Below Poverty Level","Number","Margins of Error",760.37
"Fairfield County","09001","2013-2017","White Alone","Under 18","Below Poverty Level","Percent","Poverty Status",6.91
